Çağrı No;Açılış Tarihi;Açan Birim;Birim/Şube;Servis;Ekran;Durum;2. Seviye Kullanıcı Destek Çözen/Yönlendiren;Atanan TM;Çözüm Kodu;Çözüm Tarihi
132113311;01.09.2025 08:55;Eyüpsultan Topçular İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Plato Kullanılabilir Limit Görüntüle;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:52
132115494;01.09.2025 08:58;Toptancılar Sitesi Mersin Şubesi;Şube;Kurum Tahsilatları Servisi;SGK Müşteri Listesi;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:14
132120926;01.09.2025 09:12;Çeşme Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Serkan;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;01.09.2025 10:44
132124786;01.09.2025 09:16;Menderes Şubesi;Şube;Ticari Krediler Servisi;TKD  Güncelleme Talebi Girişi;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 09:39
132124827;01.09.2025 09:16;Erikli-Bursa Şubesi;Şube;Mevduat Servisi;Bloke Geçici Muafiyet Tanımı;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 16:16
132126023;01.09.2025 09:16;Koşuyolu İstanbul Şubesi;Şube;Şube Birim Servisi;İş Akışı;Çözüldü/Kapalı;Burak;2. Seviye Kullanıcı Destek;Geçici/Alternatif Çözüm;02.09.2025 15:15
132132738;01.09.2025 09:23;Mega Center Bayrampaşa İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Ticari Kredi Kullandırım;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:49
132147659;01.09.2025 09:37;Hoşdere Esenyurt İstanbul Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;TKD Pilot Tanımı;Çözüldü/Kapalı;Yavuz;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:01
132149058;01.09.2025 09:39;Trabzon Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Nursema;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:33
132150501;01.09.2025 09:42;Atm Müdürlüğü;Birim;ATM Servisi;ATM Finansal Talep Aç;Çözüldü/Kapalı;Emre;UAC.ATM;Konfigürasyon Kaynaklı;02.09.2025 10:26
132152042;01.09.2025 09:43;Gaziemir İzmir Şubesi;Şube;Kredi Tahsis Yönetimi Servisi;Hazır Limit Listele;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:05
132152196;01.09.2025 09:43;Atatürk Organize Sanayi Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;Tuğba;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:52
132153386;01.09.2025 09:45;Risk Tasfiye Koordinasyon Müdürlüğü;Birim;Takip Servisi;Takip Ödeme Planı Oluştur;Çözüldü/Kapalı;Serkan;UİT.Yasal Takip;Planlı Çalışma;05.09.2025 09:18
132154248;01.09.2025 09:46;Sanayi Eskişehir Şubesi;Şube;Ticari Krediler Servisi;TKD Kullandırım Talebi Girişi;Çözüldü/Kapalı;İbrahim;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 11:14
132154621;01.09.2025 09:50;Risk Tasfiye ve Tahsil Müdürlüğü 3;Birim;Takip Servisi;Takipli Müşteri Föyü;Çözüldü/Kapalı;Akif;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;01.09.2025 10:04
132155173;01.09.2025 09:47;Kartepe Kocaeli Şubesi;Şube;Kredi Teminat Yönetimi Servisi;TKD Şube Teminat Talebi;Çözüldü/Kapalı;Emre;2. Seviye Kullanıcı Destek;Kullanıcı Hatası/Bilgi Eksikliği;02.09.2025 09:49
